x,y,depth
640,589,443
641,589,443
641,589,444
642,589,443
641,589,444
642,588,444
641,589,444
641,589,444
641,589,444
640,589,444
641,589,444
641,589,444
640,589,444
641,589,444
641,587,443
639,589,444
640,589,444
641,590,444
640,589,444
639,588,444
642,589,444
640,590,444
641,588,444
640,589,444
641,589,444
641,589,444
641,590,444
641,589,444
641,586,444
641,589,444
640,587,444
641,588,444
641,588,444
640,588,444
640,589,444
641,589,444
642,588,444
641,589,444
642,589,444
640,586,444
640,590,444
642,589,444
641,589,444
639,588,444
642,589,444
640,589,444
641,589,444
640,589,444
641,588,444
641,588,444
639,589,444
643,589,444
641,590,444
641,588,444
641,589,444
641,586,444
642,590,445
640,589,444
638,588,444
640,589,444
639,588,444
640,589,444
641,589,444
641,589,444
641,588,444
641,589,444
640,589,444
639,589,444
640,590,444
641,589,444
642,589,444
641,589,444
641,589,444
641,588,444
641,588,444
641,589,444
642,586,444
640,589,444
641,589,444
641,589,444
639,589,444
640,586,444
641,589,444
642,588,444
641,589,444
640,587,444
641,589,444
641,590,444
641,589,444
639,589,444
638,590,444
640,590,444
641,589,444
641,589,444
641,589,444
641,589,444
642,588,444
642,589,444
641,589,444
640,589,444
640,589,444
639,590,444
641,589,444
641,589,444
639,589,444
641,590,444
640,589,444
641,589,444
641,590,444
641,589,444
641,589,444
640,589,444
642,588,444
640,588,444
640,589,444
640,590,444
640,590,444
641,589,444
641,589,444
640,589,444
640,589,444
641,589,444
641,590,444
640,589,444
641,589,444
641,590,444
640,589,444
642,589,444
640,589,444
641,590,444
641,589,444
641,589,444
641,589,445
639,589,444
641,589,444
641,590,444
640,589,445
640,589,444
641,589,444
639,585,444
640,589,444
641,589,444
640,589,444
639,588,444
639,589,444
639,589,444
640,590,444
639,589,444
642,589,444
639,590,445
639,590,444
639,589,444
639,589,444
641,590,444
641,589,444
640,589,444
640,590,444
640,589,444
641,590,444
641,589,444
639,589,444
641,589,444
641,589,444
639,589,444
639,589,444
640,590,443
638,589,445
641,590,444
640,590,444
638,589,445
640,589,444
640,590,444
641,589,444
639,590,445
639,589,444
640,590,444
639,589,444
639,589,444
640,590,444
642,589,444
640,590,444
641,589,444
642,589,444
642,589,444
639,590,444
641,589,444
641,589,445
640,590,444
640,589,444
640,590,444
639,589,444
642,590,444
638,589,444
640,589,444
641,589,444
640,589,444
640,590,444
638,589,444
642,590,444
642,589,444
