x,y,depth
139,167,530
139,167,529
139,167,530
139,167,530
139,167,529
139,169,530
139,167,530
139,169,530
139,167,530
139,167,530
139,167,529
139,167,529
139,167,530
140,167,530
139,167,529
139,168,530
139,167,530
139,167,530
139,168,530
139,168,530
139,167,530
140,167,530
139,169,531
139,165,530
139,167,530
139,169,530
139,167,529
140,166,529
139,169,530
139,167,530
139,168,531
139,167,530
139,167,530
139,167,530
139,168,531
139,167,530
139,167,529
139,167,530
139,168,531
139,169,531
139,167,530
139,167,529
139,167,530
139,168,531
140,166,529
139,167,530
139,167,530
139,167,530
139,167,530
139,167,530
139,167,529
139,167,530
139,167,530
139,168,530
139,167,530
139,169,530
139,167,529
139,167,530
139,167,530
139,168,530
139,167,529
139,168,530
139,167,529
139,167,529
139,167,530
139,168,530
139,167,530
139,167,530
140,167,529
139,169,531
139,167,530
139,167,530
139,167,529
139,167,530
139,167,530
139,166,530
139,169,530
139,168,530
139,167,529
139,167,530
139,167,529
139,167,530
139,167,530
139,167,529
139,167,530
139,167,530
139,168,530
139,168,530
139,167,530
139,168,530
139,168,530
139,167,530
139,167,530
139,167,530
139,167,530
139,168,529
139,167,529
139,168,530
139,167,530
139,167,530
139,167,530
139,167,530
139,167,529
139,167,529
139,167,530
139,167,530
139,167,530
139,168,531
139,167,530
139,167,530
139,167,530
139,169,530
139,167,530
139,167,530
139,168,530
139,167,529
139,169,531
139,167,530
139,167,530
139,168,530
139,167,529
139,167,530
139,168,530
139,168,530
139,167,529
139,168,530
139,167,530
139,167,529
139,167,529
139,167,529
139,167,529
140,167,530
139,169,530
139,167,530
139,168,530
139,167,530
139,167,529
139,167,530
140,167,529
139,168,530
139,167,530
139,169,530
139,166,530
139,168,530
139,168,530
139,168,530
139,167,530
139,167,529
139,167,530
139,167,530
139,167,529
139,167,529
139,168,530
139,168,530
139,167,529
139,167,530
139,167,529
139,168,530
139,167,530
139,167,530
139,169,530
139,167,530
139,167,529
139,167,529
139,167,529
139,169,530
139,167,529
139,167,530
139,168,530
139,167,530
139,167,529
139,167,529
139,165,529
139,169,530
139,166,530
139,168,530
139,167,530
139,166,530
139,167,529
139,169,530
139,168,530
139,168,530
139,166,530
139,167,530
139,167,530
139,167,529
139,166,530
139,168,530
139,167,529
139,168,530
139,167,529
139,168,530
139,167,529
139,167,529
139,167,530
139,168,530
139,169,530
139,167,529
140,167,529
139,168,530
139,167,530
139,168,530
139,167,530
139,168,530
139,167,530
139,167,530
139,169,530
139,168,530
139,167,529
140,168,530
139,167,530
139,167,530
139,167,529
140,167,530
139,169,530
140,167,529
139,167,530
139,167,529
139,169,530
139,168,531
139,167,530
139,167,529
139,167,530
139,168,530
139,167,529
140,167,530
139,167,530
139,167,530
140,167,529
139,168,530
139,167,530
139,166,529
139,169,530
139,167,529
139,168,530
139,167,529
139,167,529
139,166,529
139,167,530
139,167,530
139,167,529
139,168,530
139,167,530
139,169,530
139,169,531
139,167,529
139,168,530
139,167,529
139,167,529
139,169,531
139,167,529
139,169,531
140,168,531
139,167,530
139,168,531
139,167,530
139,169,531
139,167,529
139,169,531
139,167,530
139,167,530
139,167,529
139,167,530
139,167,529
139,167,529
139,167,530
139,166,530
