x,y,depth
140,170,528
140,168,528
140,170,529
141,169,529
140,169,529
140,168,529
140,167,528
140,168,529
140,168,528
140,168,529
140,169,529
140,168,529
140,169,528
140,169,529
140,168,529
140,168,529
140,168,529
140,169,529
140,168,529
139,169,529
140,168,529
140,169,529
140,168,528
140,168,528
142,168,528
140,169,529
140,169,528
140,167,528
140,167,529
140,169,529
140,168,529
140,168,530
140,168,529
140,169,529
139,169,530
140,168,529
140,168,529
139,169,529
140,168,529
140,169,530
141,166,528
140,169,529
140,168,529
140,168,529
140,169,530
140,168,530
140,168,530
140,168,529
140,168,529
140,168,529
140,168,529
140,168,530
140,169,530
140,168,530
140,168,530
140,168,529
140,167,529
140,168,530
140,168,529
140,169,529
140,168,528
140,170,530
140,168,529
140,168,528
140,168,528
140,169,529
140,168,529
140,169,529
140,168,529
140,168,529
140,169,530
139,169,530
139,169,529
140,169,529
140,168,529
140,168,529
140,168,529
142,169,530
140,168,530
140,169,529
140,168,528
140,168,529
140,168,528
140,168,529
140,168,530
140,168,529
140,168,530
139,169,529
140,168,530
140,169,530
140,168,529
140,169,529
140,168,528
142,168,529
139,169,529
140,168,530
140,167,528
140,168,530
140,169,530
140,168,530
140,168,529
140,168,529
140,168,530
139,169,529
140,169,529
140,169,530
141,166,529
140,168,529
141,168,530
140,168,529
140,168,529
140,168,529
140,168,530
140,169,530
140,168,528
140,169,530
140,168,529
140,167,529
140,166,528
139,169,530
140,168,530
140,169,530
139,169,529
140,167,529
140,169,529
140,168,530
140,168,529
140,169,530
140,168,530
140,167,529
140,168,530
141,168,530
139,169,530
140,168,530
140,169,530
140,168,530
140,168,529
140,169,530
139,169,529
140,169,530
140,168,530
140,168,529
141,167,529
140,169,529
142,169,528
141,168,530
139,168,529
140,168,528
140,169,529
140,168,529
140,168,530
140,169,530
140,168,529
140,168,530
140,168,530
140,168,530
140,168,530
140,169,529
140,167,528
140,169,530
140,169,530
140,167,529
139,169,530
140,169,529
140,168,529
139,169,529
140,169,529
140,168,529
140,168,530
140,168,529
140,169,529
141,169,529
141,166,528
140,168,529
140,167,529
139,169,530
140,168,529
139,169,529
139,169,529
140,168,529
141,168,529
140,169,530
140,168,530
140,168,529
140,168,529
140,168,528
140,168,530
141,168,529
140,169,529
140,168,529
140,168,529
140,168,530
140,168,529
139,168,530
140,168,529
140,168,530
140,168,529
140,167,529
140,169,530
140,168,530
