x,y,depth
643,316,499
643,315,497
644,317,499
643,315,498
643,316,499
644,315,498
644,316,498
643,315,498
643,316,499
644,316,499
643,315,499
643,316,499
643,315,498
643,316,498
643,316,499
643,316,498
643,316,499
644,316,499
643,316,498
642,315,498
643,315,499
644,316,498
643,315,499
643,316,499
643,316,499
643,316,499
643,316,498
644,316,499
642,317,498
643,316,499
643,316,498
643,316,499
644,315,499
644,315,499
644,315,499
643,316,498
643,315,499
645,316,498
643,317,498
643,316,498
643,316,499
643,316,498
644,315,498
643,315,498
643,316,498
644,315,499
644,316,499
643,316,498
644,315,499
645,316,499
643,316,499
644,315,499
644,316,499
644,315,498
644,315,499
643,315,499
643,315,499
643,316,499
644,317,498
643,316,498
643,315,499
643,316,498
643,316,498
643,315,499
644,315,498
644,316,499
643,315,498
644,316,499
643,316,498
644,316,499
643,316,499
643,316,499
643,316,498
643,316,499
644,315,498
643,315,499
643,316,498
643,316,499
643,315,499
643,316,499
644,315,498
643,316,498
644,315,498
643,315,499
643,316,499
643,316,499
644,315,499
643,316,499
644,315,499
644,316,499
644,315,498
644,315,499
644,315,499
644,316,499
644,316,499
644,315,499
642,316,499
643,315,499
643,316,499
644,316,499
644,316,498
643,316,499
643,316,498
643,315,499
644,315,499
643,316,499
644,316,499
644,316,499
644,315,498
643,315,498
642,315,499
643,316,499
644,316,499
643,316,499
644,315,499
643,316,499
645,315,499
643,316,499
643,316,499
643,316,499
643,315,499
643,316,498
643,316,498
644,315,498
643,315,498
643,315,498
643,316,499
643,316,498
643,316,499
643,316,499
644,316,499
643,315,499
643,315,499
644,315,498
644,315,499
644,316,499
643,316,499
644,315,499
643,315,498
643,316,499
643,316,499
643,316,499
645,316,498
643,316,499
644,316,498
644,315,498
643,316,499
643,316,499
643,317,499
643,316,499
642,316,499
643,316,498
644,316,499
643,316,499
643,316,498
643,316,499
643,316,499
644,315,498
643,315,499
643,315,499
643,315,499
643,316,499
643,315,499
643,316,499
643,316,499
643,316,499
643,315,499
643,316,499
643,315,498
644,315,499
643,316,499
643,315,499
644,315,499
643,316,499
643,316,499
643,316,499
643,315,499
642,315,499
644,316,498
643,316,499
644,316,499
643,316,499
644,316,499
643,315,499
643,316,499
644,315,499
643,315,499
643,315,498
643,315,499
643,315,498
644,316,499
643,316,499
642,315,499
643,316,499
643,316,499
644,315,498
643,315,498
644,315,499
643,315,499
643,315,498
643,316,499
643,315,499
643,315,499
643,316,499
644,315,498
644,316,499
643,316,499
643,316,499
643,316,499
644,316,498
643,316,499
643,316,498
644,316,499
643,316,498
643,316,499
643,315,499
643,315,499
643,316,499
644,315,498
645,315,498
644,316,498
643,316,499
643,316,499
644,316,499
643,316,498
643,316,498
643,316,498
643,315,499
642,316,498
643,316,498
644,315,498
644,316,498
643,316,499
643,315,499
