x,y,depth
1145,171,521
1145,170,521
1146,170,521
1146,170,521
1145,170,521
1145,171,521
1145,170,521
1145,170,521
1145,170,520
1145,170,520
1146,170,520
1145,170,520
1146,170,521
1146,170,520
1145,170,521
1146,171,521
1145,170,521
1145,170,521
1145,170,521
1146,170,521
1145,170,521
1145,170,521
1146,170,521
1145,170,521
1145,170,520
1145,170,521
1145,170,521
1146,170,520
1146,170,521
1146,170,521
1146,170,521
1145,170,521
1146,170,521
1145,170,520
1146,170,521
1146,170,521
1145,170,520
1145,170,520
1146,170,521
1145,170,521
1146,170,521
1145,170,521
1145,170,520
1146,170,520
1145,170,520
1145,170,521
1145,170,521
1146,170,521
1145,170,520
1145,170,521
1146,170,521
1145,170,521
1145,171,521
1145,170,520
1145,170,520
1146,170,520
1146,170,520
1146,170,521
1146,170,521
1145,171,521
1146,170,521
1146,170,521
1145,170,521
1145,170,521
1145,170,520
1146,170,521
1145,170,521
1145,170,521
1145,170,521
1145,170,521
1145,170,521
1146,170,521
1145,170,521
1146,170,519
1145,170,521
1146,170,520
1146,170,521
1145,170,520
1146,170,520
1145,170,521
1145,170,521
1145,170,521
1145,170,520
1146,170,520
1145,170,521
1145,170,520
1145,170,521
1146,170,520
1145,170,521
1145,170,520
1145,170,521
1146,170,520
1145,170,520
1145,170,521
1145,170,521
1145,170,521
1145,170,521
1146,170,521
1146,170,521
1146,170,520
1145,170,520
1146,170,521
1145,170,520
1145,170,521
1145,170,521
1145,170,521
1145,171,521
1145,170,520
1145,170,521
1145,170,521
1145,170,520
1145,170,521
1145,170,521
1145,170,520
1145,170,520
1145,170,521
1145,170,520
1146,171,521
1145,170,521
1145,171,520
1145,170,521
1145,170,520
1145,171,521
1146,171,521
1145,170,520
1145,170,521
1145,171,521
1145,170,521
1145,170,521
1145,171,521
1145,170,521
1145,170,520
1145,171,521
1145,171,521
1145,170,521
1145,170,521
1145,171,521
1145,171,521
1146,171,521
1145,171,521
1145,171,521
1145,170,521
1146,170,521
1145,170,521
1145,170,521
1145,170,521
1145,171,521
1145,170,521
1145,170,521
1145,170,521
1146,171,521
1145,170,521
1145,171,521
1146,170,521
1145,170,521
