x,y,depth
634,263,444
635,263,445
633,263,445
634,263,445
634,262,445
634,263,445
633,263,446
633,263,445
634,263,445
633,263,446
634,263,445
634,263,445
634,263,446
634,263,445
633,263,446
634,263,445
634,263,445
634,263,445
634,263,445
633,263,446
633,263,445
634,264,447
633,263,446
633,263,446
633,263,446
634,263,445
633,263,445
634,263,446
633,263,446
634,263,445
634,263,445
633,263,445
633,263,446
634,263,445
634,263,446
634,263,445
633,263,446
634,263,445
633,263,446
634,263,445
633,263,446
633,263,446
633,263,445
634,263,446
633,263,446
634,263,446
634,263,445
634,263,445
634,263,446
634,262,445
633,263,446
633,263,445
634,263,445
633,263,446
634,263,446
634,263,446
634,263,445
633,263,445
633,263,446
634,263,446
634,263,446
633,263,446
634,263,445
634,263,445
633,263,445
633,263,446
634,262,445
633,263,445
633,263,445
634,263,446
633,263,446
635,263,445
634,262,446
634,262,446
633,263,445
634,263,446
633,263,446
634,263,445
633,263,445
634,263,445
634,263,446
633,263,446
633,264,446
634,262,445
633,263,445
634,263,445
634,263,445
634,263,446
633,263,445
634,263,445
633,263,445
633,263,446
633,263,445
635,263,445
634,262,445
634,263,445
633,263,445
633,263,445
634,263,445
633,262,445
634,263,445
633,263,445
634,263,446
634,263,446
633,263,446
634,263,446
633,262,445
634,263,445
633,263,445
634,263,446
634,263,446
634,263,446
634,263,446
634,263,446
633,263,445
634,263,445
634,263,446
634,263,446
634,263,446
633,263,445
633,263,445
634,263,445
633,263,445
634,263,445
633,263,445
635,262,445
633,263,446
633,263,445
634,263,446
633,263,446
634,263,446
634,263,446
634,263,445
634,263,445
633,263,445
633,263,446
633,263,446
633,263,445
633,263,446
633,263,445
633,263,445
633,263,445
634,262,445
633,262,446
633,263,446
634,263,445
633,262,446
634,262,446
634,263,445
633,263,445
634,263,446
633,263,446
634,263,445
633,263,446
634,263,445
633,263,445
634,263,446
633,263,445
634,263,446
634,263,445
633,263,446
633,263,445
633,263,445
634,263,446
634,263,445
633,263,445
634,263,445
634,263,445
633,263,445
634,263,446
633,263,446
634,263,446
634,263,445
634,263,446
634,262,445
633,263,445
633,264,447
633,263,445
634,263,445
634,263,446
634,263,445
634,263,446
633,263,446
634,263,446
634,263,445
634,263,445
634,263,446
633,263,445
633,263,446
634,263,445
633,263,446
633,263,446
633,263,445
633,262,446
634,263,445
634,264,447
634,263,445
634,263,445
634,263,445
634,263,446
